ID,Payoff
63d17b695a6cbbfcd1b19fdc,1.0
642e10f11d857b6e6bf20522,1.0
617612aa86abe09e0c69b7f2,1.0
6131801c70f5f49c3bdf7010,1.0
615d8e3f00998e6ea25548f7,1.0
5fc54a4839204604d13affd5,1.0
5caf87816ef0d100017611c4,0.8
5dcdd7bf324a3d0a6c24b608,0.8
65649536de378d6c36a6266b,1.0
65088c0b395fa983448de8dd,1.0
6313bca352b1b9dacd2446e5,1.0
5eb52896e034073a7b8aa981,1.0
627a67e16fde61ab21003956,1.0
65661c6448e2bdf5ad2d344d,1.0
5dd034d1fce606114e3bb8e0,1.0
5938e042e9b44100013ae891,1.0
5e3a058510f1a622d69d2881,0.8
63d79678fb8c1b9072646c0a,0.8
63d14652689d5918c3efdb81,1.0
63d414f95753ac660a9e09e1,1.0
63f7eb4fd0c75f760998818c,0.8
5e387f2c0d70ef099d5e5a4f,1.0
5589a309fdf99b7ae5007c33,1.0
56ccf21905d469000d109a83,1.0
60d905d968d5d28e18ee58a1,1.0
5e0777b6814bba1033f6a396,0.8
5bb9f9dad5330e000101a241,0.8
650602caaf8bfaea9b0ac6ae,1.0
61114da844c3ebcadad75deb,1.0
62d560526bd2941f33c9dad6,1.0
62df0d96dbf784aa3e1c20d7,1.0
5c4fa169ee5ae100010a2057,0.8
55b6ed4afdf99b437183fa6f,1.0
61267e282a445af9eb95beae,1.0
61625a497ae037549b3f9e2a,1.0
5bf5ab78f35e0c000101b657,1.0
60ff723ca9d36734a272bd17,0.8
653bc00977833dd2acdbf79b,1.0
54afe839fdf99b6f2c1214ce,1.0
614e497939b9b53a6013f7b0,0.8
61095cf850b50fc3ae2ee248,0.8
6150a7aff22eb4723de2341a,0.8
599ba05e05a0e30001f20344,0.8
65654d89443092badedb7c03,0.8
585eb4cfc34844000174d807,0.8
5e69987e0873d600084bc920,1.0
654cede3e7e7f75c59cc6064,1.0
5748077a5e5491000e3bf711,1.0
6533e310e09ad32adda79f77,1.0
5ec9cf3ed4642d4ebb802b42,1.0
5e991aaac7bc1615ea5b3eb8,1.0
6111735eaf7cead6ae8e2b8b,1.0
656607b0de809871a577ac96,1.0
633e64bfaab0e4bed6e5307d,0.8
62fd20eea4b9216ae42bacc6,0.8
57a2caf8275be6000135b3aa,0.8
5f481a825080c619ea3709b0,1.0
65652e00d1afb42ba1a55a89,1.0
62869a1b7fff9c9a48fe6087,0.8
60efa510e3cdfbbf4d7c355b,1.0
63d7afc5862cf407d8462372,1.0
63ec520278bcbfb9522a7c84,1.0
5f4bbf82fffa8779d1d4b082,1.0
6103a6a5b1d93e18d85a6f23,1.0
6565f8765ec125a5ff77a5ba,1.0
581d50e882c5aa000132ce4f,0.8
612597436eff2c3e15310f3f,1.0
61511105a75b2b13223c9517,1.0
63d40dec072d08076c329bf2,1.0
5f00aaa0b864761ce8828d1e,1.0
63f519601c333d44a17bb35a,0.8
5d30eee5e7ca2e001bd4091b,0.8
5cf31154eed13700013c1417,1.0
5bd7cf3f3dac81000124bbcd,1.0
633259075c2d3571332bdae7,0.1
5928b05e590f0b000126edb8,0.1
5bd0d9bf25db7b0001786a5b,0.1
5e8c0ebdcd34af1040492ef8,0.7
5bbe58e22b131d000183c317,0.7
633a480b78c808fbce75f0e9,1.3
5e03acb6398bb6e8d98855b6,1.3
5654171504212700054a12ad,1.3
64d53f3f9885e325d957590d,1.3
56cb15ad64c068000b4d7ca5,1.3
62d9905bbaae7f1e0113c6e6,0.7
6397bcc95a5e903a262566bb,0.1
5ae634876735bd0001d7ea3f,0.5
5f9c755c87a954121022de9e,0.4
546ebcd9fdf99b2bc7ebd030,0.3
6066736bd2119d9d5f7232eb,0.4
6564e02ee525798abc35ba1d,0.7
614f64af286f5a5cc8fa849d,0.1
5e65c5b41e30883349a25a61,0.4
5ec446f8ec26b7323a065827,0.1
6025aeaea2c27e19e096f29d,0.5
65602b114d91f764e2a42ec2,0.5
62d21a095ad69a4459f6d664,0.9
61699743bb6d44b1d978e630,0.5
600150a39d652729f84daf83,0.5
5f9e612e5e10814115cc780d,0.7
5b70ed4b99982e000145eb7b,0.7
656641400551b87c721e6fc3,0.9
6547e851a5ff72124cb9fb1d,0.7
5c3282eb47817b0001581512,1.0
6315a6e79ee2ce17a350a08a,0.7
5ca999aacf827100165119f4,0.3
5c3027ef69d7820001063974,0.1
5cfe7510d987a800178eab1a,0.1
656550235189b3b8bd39f3b8,0.1
65600aa7ff0c0fcf0ddcda34,0.6
5eace152e25d6800091dd418,0.6
646bbb2b727f660f5ec8f1c9,0.4
604b9e6373c491acd8aec923,0.8
6556b6e6f5259aeca4bf5127,0.4
5ff501a5c92b36cd57eb1bc1,0.5
5fb1ed28e6d35874d598b740,0.5
653913d2a261d24c68370845,0.6
6459b8128544c7f22edba161,0.8
60fdde0a68c4749b14067099,0.9
5d62dd02d556f20015807921,0.7
6339d248a31798529a8cf2e4,0.1
5f3e31e2769ffb267b9d1a24,0.1
5e98ae20be425f0e61330c39,0.4
60ecb502739c4b998218da12,0.2
614e16566e663a5e419d606d,0.2
57db16a1a4e40600014e9040,0.2
62029a39ef1cb18a1337c5e3,0.2
5686e598369319000b268e63,0.7
65047b2a7db823fd627efad7,0.4
63316daa57747115376760da,0.1
549b8ef4fdf99b4ffa5fa0c9,0.7
5dc36b196c76b327ca120b23,0.1
6543b1167662671a4c6be61c,0.1
5e89533c4d3d675e800bfc7c,0.1
62a2832342dd3f99e7cd6822,0.7
57a8abb3dcff7d0001c7d5a3,0.1
5f8adfc098514819aa26381f,0.1
654910750fecaf3485187277,0.7
627e9c9eeda3f513a8c6c548,0.3
60ebbdd7a4f2acdb9a9769e5,0.1
5e3461bd8ec4fc0230fef43a,0.1
60fe04ef652fd1fafaa4ae50,0.1
5b48a9e14acd54000132a67f,0.7
5cacd539c8e337001dbf3bd1,0.1
63e5d5659b749252fc596333,0.8
5962ceff8474920001bd266e,0.3
628eab48a8c8dc1ecec338dd,0.3
63fad8b20e532757a496f7f5,0.3
63d13b2074bde4460ac2df59,0.3
60fe47b274576eb477b06e6d,0.1
5e7e94f6279cb0000a027185,0.1
5858610a7ac7900001733bb2,0.1
5be2f3db4616da00010def19,0.7
6014213c77aab7396ca3e5a7,0.1
5a79f14a8fe2dc00010593eb,0.1
55affaf6fdf99b511b4fce1a,0.1
63d9e6b07d98353f362f023f,0.1
636330b7f97a8198974a367f,0.7
6442e3ecb13f307b6ae70217,0.4
5ab983a39534ba0001c6c342,0.1
64136140e1cce438bf993257,0.7
5e84c817507cd3066a527e5e,0.1
5e3b759740e302397f294a2d,0.6
5bef87523d79ff0001275154,0.4